,Unnamed: 0,job_title,company,job_location,country,location_type,skills,job_link,employment_type
0,0,"SPECIALIST, DATA ANALYTICS",AT&T,"Hyderabad, Telangana",India,Domestic,"['Business Intelligence', 'Profit And Loss (P&L) Management', 'Data Lineage', 'Risk Management', 'Data Integration', 'Command-Line Interface', 'Data Warehousing', 'Network Address Translation']",https://www.indeed.co.in/rc/clk?jk=2567a216d4af7021&fccid=25b5166547bbf543&vjs=3,Internship
1,1,Data scientist,ICICI Prudential Life,"Mumbai, Maharashtra",India,Domestic,"['Machine Learning', 'Data Analysis', 'Exploratory Data Analysis']",https://www.indeed.co.in/rc/clk?jk=442ad7cc38a6f7b8&fccid=254a090653692c9b&vjs=3,Full-time
2,2,Data scientist - Lead,ICICI Prudential Life,"Mumbai, Maharashtra",India,Domestic,"['Machine Learning', 'Data Analysis', 'Exploratory Data Analysis']",https://www.indeed.co.in/rc/clk?jk=e0fe53f38f84e7bd&fccid=254a090653692c9b&vjs=3,Temporary
3,3,Bot NLP Analyst,TMI Group IN,"Hyderabad, Telangana",India,Domestic,"['Artificial Intelligence', 'Machine Learning', 'Command-Line Interface', 'Business Metrics', 'JavaScript (Programming Language)', 'Graphical User Interface', 'Network Address Translation']",https://www.indeed.co.in/rc/clk?jk=363b96425a82d12d&fccid=68d10d8c57f0b648&vjs=3,Internship
4,4,Senior Data Scientist,Shairu Gems Diamonds PVT.LTD.,"Surat, Gujarat",India,Domestic,['Machine Learning'],https://www.indeed.co.in/company/Shairu-Gems-Diamonds-PVT.LTD./jobs/Senior-Data-Scientist-215ece39050fb3f5?fccid=218a357af53033aa&vjs=3,Contract
5,5,Data Scientist - Vice President,"JPMorgan Chase Bank, N.A.","Mumbai, Maharashtra",India,Domestic,"['CompTIA Security+', 'Big Data', 'Apache Spark', 'Machine Learning', 'Data Visualization', 'A/B Testing', 'Deep Learning', 'Leadership', 'Artificial Intelligence', 'Command-Line Interface', 'Network Address Translation']",https://www.indeed.co.in/rc/clk?jk=4c1d69deeb7afbaa&fccid=c46d0116f6e69eae&vjs=3,Internship
6,6,Senior Specialist - Data Science,Fidelity International,"Gurgaon, Haryana",India,Domestic,"['Sales', 'Scikit-Learn (Python Package)', 'Graphical User Interface', 'Stakeholder Management', 'Machine Learning', 'MLOps (Machine Learning Operations)', 'Marketing', 'Deep Learning', 'Service Level Management', 'PyTorch (Machine Learning Library)', 'Customer Service', 'Artificial Intelligence', 'Command-Line Interface', 'Network Address Translation']",https://www.indeed.co.in/rc/clk?jk=4d05c4cd8acab8fd&fccid=b968b58ad5fb8d16&vjs=3,Contract
7,7,Data Analyst,Growth Hub Consultants,"New Delhi, Delhi",India,Domestic,"['Data Analysis', 'Communication', 'Data Mining', 'Service Level Management', 'Project Management', 'JavaScript (Programming Language)']",https://www.indeed.co.in/rc/clk?jk=e21681272008d7ce&fccid=49b7b2ce845ef5d7&vjs=3,Internship
8,8,SaT_DnA_Manager (Data Science),EY,"Bengaluru, Karnataka",India,Domestic,"['Sales', 'Big Data', 'Graphical User Interface', 'Critical Thinking', 'Natural Language Processing (NLP)', 'Machine Learning', 'Data Analysis', 'Research', 'Data Visualization', 'Application Programming Interface (API)', 'Interpersonal Communications', 'Deep Learning', 'Leadership', 'Software Development Life Cycle', 'Command-Line Interface', 'Network Address Translation']",https://www.indeed.co.in/rc/clk?jk=60575848728e2ef5&fccid=1544766d4c2915b0&vjs=3,Part-time
9,9,Senior Data Scientist,AT&T,"Bengaluru, Karnataka",India,Domestic,"['Computer Vision', 'Pandas (Python Package)', 'Natural Language Processing (NLP)', 'Data Analysis', 'Communication', 'Feature Engineering', 'Service Level Management', 'Deep Learning', 'Knowledge Graph', 'Exploratory Data Analysis']",https://www.indeed.co.in/rc/clk?jk=2e05e0ea2fb79de1&fccid=25b5166547bbf543&vjs=3,Part-time
10,10,Senior Data Scientist,Goodtech Mind,"Kolkata, West Bengal",India,Domestic,"['Machine Learning', 'Dimensionality Reduction', 'Marketing', 'Deep Learning', 'Leadership', 'Research', 'Command-Line Interface', 'Network Address Translation']",https://www.indeed.co.in/company/Goodtech-Mind/jobs/Senior-Data-Scientist-dec7b9e38b7dea41?fccid=84311b561335f79f&vjs=3,Contract
11,11,Big Data Engineer (ETL),data.ai,"Hyderabad, Telangana",India,Domestic,"['Elasticsearch', 'Extract Transform Load (ETL)', 'Big Data', 'Operating Systems', 'Apache Spark', 'Business Intelligence', 'Creativity', 'Git (Version Control System)', 'Application Programming Interface (API)', 'Artificial Intelligence', 'Command-Line Interface', 'Network Address Translation']",https://www.indeed.co.in/rc/clk?jk=8e89a601d1a63e82&fccid=6a918ba2c69a0390&vjs=3,Part-time
12,12,Data Science - Associate,"JPMorgan Chase Bank, N.A.","Bengaluru, Karnataka",India,Domestic,"['PySpark', 'Big Data', 'Apache Spark', 'Machine Learning', 'Data Pipelines', 'Analytical Skills', 'Git (Version Control System)', 'Service Level Management', 'Apache Hadoop', 'Research', 'Network Address Translation', 'Command-Line Interface', 'Version Control']",https://www.indeed.co.in/rc/clk?jk=f3a08b1af55cb288&fccid=c46d0116f6e69eae&vjs=3,Contract
13,13,Machine Learning Engineer - Computer Vision Trainer,Agmay Technologies Pvt Ltd,"Hyderabad, Telangana",India,Domestic,"['Computer Vision', 'Machine Learning', 'Computer-Aided Design', 'MLOps (Machine Learning Operations)', 'Deep Learning', 'PyTorch (Machine Learning Library)']",https://www.indeed.co.in/company/Epigraph-Enterprises/jobs/Machine-Learning-Engineer-dbf4418b6c45f78e?fccid=10b1963d0a6bb8e6&vjs=3,Temporary
14,14,"Assistant Professor in Computer Science - AI, Ml, Data science",GEM Techsoft Private limited,"Hyderabad, Telangana",India,Domestic,"['JavaScript (Programming Language)', 'Interpersonal Communications']",https://www.indeed.co.in/company/GEM-Techsoft-Private-limited/jobs/Assistant-Professor-Computer-Science-6c15fece1faac8ab?fccid=6c5cd5390cb0ebd6&vjs=3,Temporary
15,15,Sr Data Scientist (NLP),ServiceNow,"Hyderabad, Telangana",India,Domestic,"['Sales', 'Analytical Skills', 'Communication', 'Presentations', 'JavaScript (Programming Language)', 'Command-Line Interface', 'Network Address Translation']",https://www.indeed.co.in/rc/clk?jk=5d71a621f155bcaf&fccid=7442885bc0fa7c14&vjs=3,Part-time
16,16,Lead Data Scientist,Recruit Skills,Remote,India,Domestic,"['Big Data', 'Apache Hadoop', 'Apache Spark', 'Machine Learning', 'PyTorch (Machine Learning Library)', 'Leadership']",https://www.indeed.co.in/company/Recruit-Skills/jobs/Lead-Data-Scientist-32d934908668354b?fccid=e43d89adda1df73a&vjs=3,Internship
